Movie_Title,Budget_M,Runtime_Min,Critic_Score,Rating,Success
Movie_0,107,108,49,6.160940993109575,0
Movie_1,184,115,65,6.686534909528193,1
Movie_2,97,92,25,5.036009697804878,0
Movie_3,19,111,56,3.638896945282581,0
Movie_4,111,150,43,3.957980908329244,0
Movie_5,76,138,65,7.052666104693346,1
Movie_6,193,165,72,7.77137076493912,1
Movie_7,25,107,79,8.124211393532637,1
Movie_8,107,145,82,8.106563285150985,1
Movie_9,126,121,51,1.8208549274382133,0
Movie_10,215,124,52,5.449782742323233,0
Movie_11,219,141,86,1.5180288401497986,0
Movie_12,79,136,37,5.94575994091362,0
Movie_13,207,85,44,4.973774512360393,0
Movie_14,92,107,73,8.989337644824698,1
Movie_15,121,107,77,4.158235112968708,0
Movie_16,104,123,86,2.053603147848453,0
Movie_17,108,163,65,2.2869251384755227,0
Movie_18,156,109,43,7.85359568545725,0
Movie_19,135,141,51,6.56396256984635,1
Movie_20,154,154,66,1.9101040851051123,0
Movie_21,57,171,42,1.756961255034977,0
Movie_22,6,168,85,7.30872218313208,1
Movie_23,92,141,46,1.6548670572777417,0
Movie_24,240,176,21,8.396740533613206,0
Movie_25,162,80,36,7.3561800444084655,0
Movie_26,42,106,52,1.7321390257770979,0
Movie_27,134,141,28,1.7635394267667273,0
Movie_28,196,156,62,9.87975620651058,1
Movie_29,192,82,67,4.368437161805083,0
Movie_30,25,149,58,4.335779323602019,0
Movie_31,165,151,61,8.315196105317522,1
Movie_32,208,106,45,9.525237196454729,0
Movie_33,62,88,69,9.874009574405838,1
Movie_34,26,141,44,7.780403667330475,0
Movie_35,240,116,43,4.386336269778242,0
Movie_36,93,176,32,1.7515064502880189,0
Movie_37,53,130,79,7.994322243346931,1
Movie_38,223,123,26,6.025638247622245,0
Movie_39,63,103,76,4.817998083222786,0
Movie_40,174,158,55,9.157189465852625,1
Movie_41,224,138,64,2.000777340755362,0
Movie_42,192,111,39,5.433625938617732,0
Movie_43,212,175,84,1.1021828029067717,0
Movie_44,19,167,27,5.217945777947136,0
Movie_45,194,131,35,1.5067294811365362,0
Movie_46,194,141,33,2.0693612464126474,0
Movie_47,179,137,95,2.057736220993944,0
Movie_48,194,131,34,6.842892719044572,0
Movie_49,55,91,85,7.71440391338881,1
Movie_50,112,118,51,6.250318885874437,1
Movie_51,59,81,82,9.659552936270877,1
Movie_52,248,82,70,4.373835215713337,0
Movie_53,68,135,44,3.571408776536747,0
Movie_54,135,160,77,8.817392153705143,1
Movie_55,233,138,82,3.0123625466750736,0
Movie_56,55,81,81,9.669002854965502,1
Movie_57,139,81,41,1.109390272208347,0
Movie_58,25,171,77,9.728909440368751,1
Movie_59,77,133,77,1.388439207555185,0
Movie_60,171,166,68,9.02028802328264,1
Movie_61,22,175,71,5.749309981776698,0
Movie_62,136,176,61,9.936683165073703,1
Movie_63,93,80,89,1.6641690826185898,0
Movie_64,64,98,34,5.984688559611887,0
Movie_65,18,81,73,9.72372282057189,1
Movie_66,246,132,79,5.707880597531339,0
Movie_67,13,123,27,6.664587743217362,0
Movie_68,94,169,72,7.261738200861554,1
Movie_69,57,111,79,5.090869582909959,0
Movie_70,134,149,24,6.648022720756571,0
Movie_71,88,111,87,6.258828807307902,1
Movie_72,96,147,25,9.110422094418901,0
Movie_73,115,134,66,1.409017423073121,0
Movie_74,192,154,74,3.528668706330073,0
Movie_75,203,135,59,9.553703356689029,1
Movie_76,176,96,71,9.012374055018247,1
Movie_77,12,117,35,5.100910775071417,0
Movie_78,179,103,32,6.581193380213831,0
Movie_79,39,148,49,3.496430646830194,0
Movie_80,210,177,38,2.6930904375138516,0
Movie_81,85,149,36,5.173285644459839,0
Movie_82,168,165,82,4.180170052234475,0
Movie_83,54,90,38,6.252905006657849,0
Movie_84,108,95,77,1.6996117326848634,0
Movie_85,136,176,74,9.769553268995498,1
Movie_86,6,152,81,9.875896700316426,1
Movie_87,138,138,42,7.2834554261777065,0
Movie_88,58,149,28,5.824867297097083,0
Movie_89,110,159,31,3.78574854657695,0
Movie_90,8,172,20,8.324155177362538,0
Movie_91,58,82,77,7.162580552984913,1
Movie_92,225,99,20,2.463552454104022,0
Movie_93,195,138,53,9.198344660444583,1
Movie_94,150,115,67,8.402835186308522,1
Movie_95,222,98,20,9.548199219627316,0
Movie_96,48,169,35,7.531475575495239,0
Movie_97,166,146,80,6.520736763422109,1
Movie_98,206,98,83,4.76418732661557,0
Movie_99,194,99,82,9.39455635018612,1
Movie_100,232,175,88,8.794575005503674,1
Movie_101,18,150,41,1.4069680309557047,0
